Property Id,Property Name,Parent Property Id,Parent Property Name,Year Ending,Year,Address 1,Address 2,City,Postal Code,Primary Property Type - Self Selected,Primary Property Type - EPA Calculated,National Median Reference Property Type,Property Floor Area (Building(s)) (ft2),Year Built,Number of Buildings,Occupancy,Custom Property ID 1 - ID,Philadelphia Building ID,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Natural Gas Use (therms),Natural Gas Use (kBtu),Fuel Oil #2 Use (kBtu),District Steam Use (kBtu),Other Use (kBtu),Energy Alerts,Property Use Detail Alerts,Energy Current Date,ENERGY STAR Score,National Median Site Energy Use (kBtu),National Median Source Energy Use (kBtu),National Median Site EUI (kBtu/ft2),National Median Source EUI (kBtu/ft2),Percent Better than National Median Site EUI,Percent Better than National Median Source EUI,Site Energy Use (kBtu),Source Energy Use (kBtu),Site EUI (kBtu/ft2),Source EUI (kBtu/ft2),Weather Normalized Site Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Site EUI (kBtu/ft2),Weather Normalized Source EUI (kBtu/ft2),Weather Normalized Site Electricity (kWh),Weather Normalized Site Natural Gas Use (therms),National Median ENERGY STAR Score,Total GHG Emissions (MtCO2e),Custom Property ID 1 - Name,Direct GHG Emissions (MtCO2e),Indirect GHG Emissions (MtCO2e),Total GHG Emissions Intensity (kgCO2e/ft2),Location
2365631,One Parkway Building,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,1515 Arch St,NA,Philadelphia,19102,Office,Office,CBECS - Office & Bank/Financial,502000,1962,1,100,40,772059100,13870350,47325634.2,221770.448,22177044.8,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,One or more of the values for use details are outside the typical range for properties of your type.; Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,43,64607400,159736400,128.7,318.2,7.6,7.6,69502681.4,171888396,138.5,342.4,70883264.3,172699718,141.2,344,13780840.9,238630.3,50,7170.2,Main Asset ID,1177,5993.2,14.3,"1515 Arch St
Philadelphia, PENNSYLVANIA 19102
(39.95465578900007, -75.16507339099996)"
3192582,City Hall,3618415,"City Hall, MSB and CJC",12/31/2011,2011,Broad and Market Street,NA,Philadelphia,19102,Office,Other,CBECS - Other,1202000,1868,0,100,287,782273400,8339192,28453323.1,392346.512,39234651.2,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,94,139552200,269248000,116.1,224,-51.5,-51.5,67687974.2,130539817.8,56.3,108.6,70798022.5,133397338.1,58.9,111,8281972.4,425399.3,50,5685.5,Main Asset ID,2082.3,3603.2,4.7,"Broad and Market Street
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
3192995,Criminal Justice Center,3618415,"City Hall, MSB and CJC",12/31/2011,2011,13th and Filbert Street,NA,Philadelphia,19107,Courthouse,Courthouse,CBECS - Public Order and Safety,600000,1994,1,100,93,781092450,15421540,52618294.5,166515.429,16651542.9,NA,5051814.3,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,28,58920000,149640000,98.2,249.4,26.2,26.1,74321650,188783099.6,123.9,314.6,76362889.5,191033643,127.3,318.4,15421537.6,179920.4,50,7994.4,Main Asset ID,883.7,7110.7,13.3,"13th and Filbert Street
Philadelphia, PENNSYLVANIA 19107
(39.95314441100004, -75.16120989399997)"
3213775,Municipal Services Building,3618415,"City Hall, MSB and CJC",12/31/2011,2011,1401 J.F.K. Boulevard,NA,Philadelphia,19102,Office,Office,CBECS - Office & Bank/Financial,491000,1968,1,100,165,782003200,8715175,29736177.1,131481.195,13148119.5,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,74,57545200,143863000,117.2,293,-25.5,-25.5,42884296.5,107177121.2,87.3,218.3,44256264.3,108617687.4,90.1,221.2,8715173.9,145200.9,50,4463.5,Main Asset ID,697.8,3765.7,9.1,"1401 J.F.K. Boulevard
Philadelphia, PENNSYLVANIA 19102
(39.95101964400004, -75.16565913299996)"
3237291,Central Library,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,1901 Vine Street,NA,Philadelphia,19103,Library,Library,CBECS - Library,200680,1922,1,100,321,782598210,5908530,20159904.4,3248.48,324848,NA,6202830,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,17740112,47280208,88.4,235.6,50.5,50.4,26687582.4,71105449.5,133,354.3,26956749.1,70600330.8,134.3,351.8,5783101.9,3248.5,50,3119.4,Main Asset ID,17.2,3102.2,15.5,"1901 Vine Street
Philadelphia, PENNSYLVANIA 19103
(39.95913822500006, -75.17039726099995)"
3237331,NE Reg Library/ Health Center #10,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,2230 Cottman Street,NA,Philadelphia,19149,Library,Library,CBECS - Library,58009,1962,2,100,281,NA,1398000,4769976,44275.961,4427596.1,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,6404193.6,13666920.4,110.4,235.6,43.7,43.6,9197572.2,19626700.9,158.6,338.3,9301567.8,19351435.4,160.3,333.6,1344086.5,47155.4,50,839.1,Main Asset ID,235,604.1,14.5,"2230 Cottman Street
Philadelphia, PENNSYLVANIA 19149
(40.04848665700007, -75.06129637199996)"
3267049,Health Administration Building,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,500 South Broad Street,NA,Philadelphia,19146,Office,Office,CBECS - Office & Bank/Financial,77688,1959,1,100,895,782026200,2514603,8579825.4,28002.722,2800272.2,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,16,7605655.2,19973584.8,97.9,257.1,49.6,49.6,11380097.5,29880937.2,146.5,384.6,11492493.5,29629590.4,147.9,381.4,2462806.5,30894,50,1235.1,Main Asset ID,148.6,1086.5,15.9,"500 South Broad Street
Philadelphia, PENNSYLVANIA 19146
(39.94451807400003, -75.16538483499994)"
3267057,Health Center #5,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,1900 N. 20th Street,NA,Philadelphia,19121,Medical Office,Medical Office,CBECS - Medical Office,36260,1960,1,100,785,784552700,731941,2497382.7,20755.322,2075532.2,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,12/31/2013,40,4140892,9075878,114.2,250.3,10.4,10.4,4572914.9,10021090.5,126.1,276.4,4705991.3,10063019.4,129.8,277.5,718226.1,22554,50,426.5,Main Asset ID,110.2,316.3,11.8,"1900 N. 20th Street
Philadelphia, PENNSYLVANIA 19121
(39.98308840300007, -75.16675489799997)"
3267063,Medical Exam Building,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,321 University Ave,NA,Philadelphia,19104,Laboratory,Other,CBECS - Other,85000,1970,1,100,133,783532000,2982929,10177753.7,11451.92,1145192,NA,NA,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,3570000,10463500,42,123.1,217.1,216.9,11322946.1,33160599.7,133.2,390.1,11197662.3,32598898.6,131.7,383.5,2922607.9,12257.2,50,1349.7,Main Asset ID,60.8,1288.9,15.9,"321 University Ave
Philadelphia, PENNSYLVANIA 19104
(39.947365028000036, -75.19853971799995)"
3281341,Art Museum and Perelman Bldg,NA: Standalone Property,NA: Standalone Property,12/31/2011,2011,2600 Ben Franklin Parkway,NA,Philadelphia,19130,Museum,Other - Entertainment/Public Assembly,CEBCS - Public Assembly,804000,1929,2,100,1933,782513700; 782513701,17324500,59111194,8604.36,860436,NA,82215264.4,NA,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.,Most recent bill is either more than 120 days old or prior to your Next Eligible Date.; More than 50% of the gross floor area is not a single property use type that is eligible for a 1-100 score.,12/31/2013,NA,34089600,68420400,42.4,85.1,317,317.2,142186886.2,285420923.1,176.8,355,143545299.5,287055150.1,178.5,357,17324495.5,8604.4,50,14810.6,Main Asset ID,45.7,14764.9,18.4,"2600 Ben Franklin Parkway
Philadelphia, PENNSYLVANIA 19130
(39.966826774000026, -75.17123812099999)"
